    4.1000|4.2000|4.3000|4.4000|4.5000|4.6000|4.7000|4.8000|4.9000|5.0000| x

   |0.0166|0.0150|0.0136|0.0123|0.0111|0.0101|0.0091|0.0082|0.0074|0.0067|<-0
   |0.0845|0.0780|0.0719|0.0663|0.0611|0.0563|0.0518|0.0477|0.0439|0.0404|<-1
   |0.2238|0.2102|0.1973|0.1851|0.1736|0.1626|0.1523|0.1425|0.1333|0.1246|<-2
   |0.4142|0.3954|0.3771|0.3594|0.3423|0.3257|0.3097|0.2942|0.2793|0.2650|<-3
   |0.6093|0.5898|0.5704|0.5512|0.5321|0.5132|0.4946|0.4762|0.4582|0.4405|<-4
   |0.7693|0.7531|0.7366|0.7199|0.7029|0.6857|0.6684|0.6510|0.6335|0.6159|<-5
   |0.8786|0.8674|0.8558|0.8436|0.8310|0.8180|0.8046|0.7908|0.7766|0.7622|<-6
   |0.9427|0.9360|0.9289|0.9214|0.9134|0.9049|0.8960|0.8866|0.8768|0.8666|<-7
   |0.9755|0.9720|0.9683|0.9642|0.9597|0.9549|0.9497|0.9442|0.9382|0.9319|<-8
   |0.9904|0.9888|0.9871|0.9851|0.9829|0.9804|0.9778|0.9748|0.9716|0.9681|<-9
   |0.9966|0.9959|0.9951|0.9943|0.9933|0.9922|0.9909|0.9896|0.9880|0.9863|<-10
   |0.9988|0.9986|0.9983|0.9980|0.9976|0.9971|0.9966|0.9960|0.9953|0.9945|<-11
   |0.9996|0.9995|0.9994|0.9993|0.9992|0.9990|0.9988|0.9985|0.9983|0.9979|<-12
   |0.9999|0.9998|0.9998|0.9998|0.9997|0.9997|0.9996|0.9995|0.9994|0.9993|<-13
   |0.9999|0.9999|0.9999|0.9999|0.9999|0.9999|0.9999|0.9998|0.9998|0.9997|<-14
   |1.0000|1.0000|1.0000|1.0000|0.9999|0.9999|0.9999|0.9999|0.9999|0.9999|<-15
   |1.0000|1.0000|1.0000|1.0000|1.0000|1.0000|1.0000|1.0000|1.0000|0.9999|<-16
